year,importer_country,product_group,has_2025_data,rows,supplier_count,trade_value_usd_2025,quantity_kg_2025,trade_value_usd_2024,quantity_kg_2024,suppliers_2024,value_ratio_2025_vs_2024,quantity_ratio_2025_vs_2024
2025,USA,Frozen Atlantic salmon,True,9,9,41355464.0,4851230.0,22240909.0,2610040.0,7.0,1.859432274103545,1.8586803267382874
2025,USA,Frozen yellowfin tuna,True,12,12,56379208.0,3351335.0,30726725.0,3356830.0,12.0,1.8348590030340037,0.9983630389385224
2025,USA,Frozen mackerel,True,34,34,94547740.0,26180746.0,31997102.0,11539419.0,28.0,2.9548844767254234,2.268809720836032
2025,USA,Frozen hake,True,11,11,7486040.0,2743436.0,4287044.0,1492729.0,13.0,1.7462008787406893,1.8378660828589783
2025,USA,Frozen shrimp/prawns,True,39,39,10443283302.0,1219856460.0,4648902156.0,581811208.0,38.0,2.2463977411358536,2.096653421637075
2025,China,Frozen Atlantic salmon,False,0,0,0.0,0.0,86719262.0,11992219.0,4.0,0.0,0.0
2025,China,Frozen yellowfin tuna,False,0,0,0.0,0.0,12619623.0,7613296.0,9.0,0.0,0.0
2025,China,Frozen mackerel,False,0,0,0.0,0.0,161307020.0,71589329.0,14.0,0.0,0.0
2025,China,Frozen hake,False,0,0,0.0,0.0,16523257.0,8752270.0,8.0,0.0,0.0
2025,China,Frozen shrimp/prawns,False,0,0,0.0,0.0,4551816615.0,915650248.0,26.0,0.0,0.0
2025,Japan,Frozen Atlantic salmon,True,6,6,22906710.610999998,2792322.0,7828115.885,883046.0,5.0,2.9262099523709337,3.1621478382779604
2025,Japan,Frozen yellowfin tuna,True,22,22,261568139.855,67135962.0,74154527.187,21231006.0,21.0,3.5273387853365663,3.1621658436722218
2025,Japan,Frozen mackerel,True,17,17,418295339.108,121741334.0,174389792.236,67613698.0,13.0,2.398622842224188,1.8005424581273457
2025,Japan,Frozen hake,True,3,3,2314139.08,426008.0,665055.529,176241.0,3.0,3.479617835039456,2.4171900976503764
2025,Japan,Frozen shrimp/prawns,True,32,32,2549596331.936,285813436.0,1221948566.161,145117304.0,29.0,2.0865005308251847,1.9695338055618785
2025,Spain,Frozen Atlantic salmon,True,13,13,37834526.105,5009927.192000001,14980626.049,2214998.12,13.0,2.525563750222946,2.261820065111387
2025,Spain,Frozen yellowfin tuna,True,39,39,336580380.5130001,118040442.4,185945583.226,69722193.01,37.0,1.8101015075142555,1.6930110385809276
2025,Spain,Frozen mackerel,True,20,20,28747785.679,12960780.14,6778790.180000001,5702123.5600000005,16.0,4.24084311737762,2.272974270659263
