year,importer_country,supplier_country,product_code,product_description,trade_flow,trade_value_usd,quantity_kg,avg_price_per_kg,product_group
2020,China,Canada,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1897.0,355.0,5.343661971830986,Frozen Atlantic salmon
2020,China,Chile,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,73692363.0,15412578.0,4.781313223524319,Frozen Atlantic salmon
2020,China,Iceland,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,117915.0,18141.0,6.499917314370762,Frozen Atlantic salmon
2020,China,Norway,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,252692.0,28924.0,8.736412667680819,Frozen Atlantic salmon
2020,China,United Kingdom,030313,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,9.0,10.0,0.9,Frozen Atlantic salmon
2020,China,Argentina,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,2151747.0,918581.0,2.342468437731675,Frozen hake
2020,China,Australia,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,112568.0,43170.0,2.607551540421589,Frozen hake
2020,China,Canada,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,17662182.0,13929511.0,1.267968559700337,Frozen hake
2020,China,Mexico,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,323617.0,189000.0,1.7122592592592594,Frozen hake
2020,China,New Zealand,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1400156.0,514532.0,2.7212223923876455,Frozen hake
2020,China,Norway,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,136418.0,32284.0,4.2255606492380124,Frozen hake
2020,China,Rep. of Korea,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,3701278.0,2415387.0,1.5323747291841845,Frozen hake
2020,China,USA,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,328510.0,252700.0,1.3,Frozen hake
2020,China,Uruguay,030366,"Fish; frozen, hake (Merluccius spp., Urophycis spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,1527888.0,642925.0,2.3764638177081308,Frozen hake
2020,China,Faroe Isds,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,6230518.0,3634326.0,1.7143530877527222,Frozen mackerel
2020,China,France,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,122810.0,102036.0,1.2035948096750166,Frozen mackerel
2020,China,Greenland,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,2944194.0,1647683.0,1.786869197533749,Frozen mackerel
2020,China,Iceland,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,14272804.0,8386192.0,1.7019410001583555,Frozen mackerel
2020,China,Indonesia,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,194307.0,191511.0,1.01459968356909,Frozen mackerel
2020,China,Ireland,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,5060745.0,2752580.0,1.8385460186443263,Frozen mackerel
2020,China,Japan,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,8136074.0,7426766.0,1.095506981100522,Frozen mackerel
2020,China,Malaysia,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,54571.0,20151.0,2.708103816187782,Frozen mackerel
2020,China,Mexico,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,132165.0,240300.0,0.55,Frozen mackerel
2020,China,New Zealand,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,117.0,98.0,1.1938775510204083,Frozen mackerel
2020,China,Norway,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,65463000.0,35920440.0,1.8224442685000517,Frozen mackerel
2020,China,Rep. of Korea,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,7789448.0,10659621.0,0.7307434288705011,Frozen mackerel
2020,China,Russian Federation,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,11712124.0,21294373.0,0.5500102773629446,Frozen mackerel
2020,China,Spain,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,38866.0,25000.0,1.55464,Frozen mackerel
2020,China,Thailand,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,44496.0,29133.0,1.5273401297497684,Frozen mackerel
2020,China,United Kingdom,030354,"Fish; frozen, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",Import,10649186.0,5937766.0,1.793466768478246,Frozen mackerel
2020,China,Argentina,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,182897312.0,26259457.0,6.965007387624199,Frozen shrimp/prawns
2020,China,Australia,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,5988892.0,500788.0,11.958936715736,Frozen shrimp/prawns
2020,China,Bangladesh,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,789317.0,100608.0,7.845469545165394,Frozen shrimp/prawns
2020,China,Brunei Darussalam,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,323901.0,28558.0,11.341865676868128,Frozen shrimp/prawns
2020,China,Canada,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,3597909.0,209778.0,17.15103109000944,Frozen shrimp/prawns
2020,China,China,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,170828.0,35563.0,4.803531760537638,Frozen shrimp/prawns
2020,China,Ecuador,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,1689580070.0,318626586.0,5.302696461117026,Frozen shrimp/prawns
2020,China,Ghana,030617,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",Import,94683.0,6800.0,13.923970588235294,Frozen shrimp/prawns
